sequence_name,sample_date,epi_week,epi_date,lineage
England/PHEC-YYDB4IS/2022,2022-02-24,113,2022-02-20,AY.4.2.1
England/PHEC-5W033Z4D/2022,2022-02-24,113,2022-02-20,AY.4.2.1
England/PHEC-YYN5W46/2022,2022-02-16,112,2022-02-13,AY.4.2.1
England/PHEC-YYNTYSQ/2022,2022-02-04,110,2022-01-30,AY.4.2.1
England/PHEC-5P0B1ZA5/2022,2022-02-03,110,2022-01-30,AY.4.2.1
England/DHSC-CYBAHYG/2022,2022-02-02,110,2022-01-30,AY.4.2.1
Wales/PHWC-PERKJ4/2022,2022-01-30,110,2022-01-30,AY.4.2.1
England/DHSC-CYNX5WO/2022,2022-01-30,110,2022-01-30,AY.4.2.1
England/DHSC-CYD3M5H/2022,2022-01-28,109,2022-01-23,AY.4.2.1
England/PHEC-YYNUAFI/2022,2022-01-28,109,2022-01-23,AY.4.2.1
England/PHEC-YYNU1PM/2022,2022-01-27,109,2022-01-23,AY.4.2.1
England/PHEP-YYDHK67/2022,2022-01-27,109,2022-01-23,AY.4.2.1
England/PHEC-YYN6Q9W/2022,2022-01-25,109,2022-01-23,AY.4.2.1
England/NORT-YNB5K67/2022,2022-01-25,109,2022-01-23,AY.4.2.1
England/PHEC-5P032Z40/2022,2022-01-25,109,2022-01-23,AY.4.2.1
England/PHEC-YYNTEIE/2022,2022-01-23,109,2022-01-23,AY.4.2.1
England/PHEC-4W07AZ53/2022,2022-01-21,108,2022-01-16,AY.4.2.1
England/PHEC-4W079ZA1/2022,2022-01-21,108,2022-01-16,AY.4.2.1
England/MILK-3384FED/2022,2022-01-21,108,2022-01-16,AY.4.2.1
England/PHEC-YYN6RAC/2022,2022-01-20,108,2022-01-16,AY.4.2.1
England/PHEP-YYRDB9S/2022,2022-01-20,108,2022-01-16,AY.4.2.1
England/NORT-YB5AZB/2022,2022-01-19,108,2022-01-16,AY.4.2.1
Wales/PHWC-P8TXJ5/2022,2022-01-18,108,2022-01-16,AY.4.2.1
England/ALDP-3349825/2022,2022-01-18,108,2022-01-16,AY.4.2.1
England/PHEC-4W07CZ11/2022,2022-01-18,108,2022-01-16,AY.4.2.1
England/PHEC-4Q081ZE4/2022,2022-01-17,108,2022-01-16,AY.4.2.1
England/PLYM-3301B4E/2022,2022-01-16,108,2022-01-16,AY.4.2.1
England/MILK-32D3232/2022,2022-01-16,108,2022-01-16,AY.4.2.1
Wales/ALDP-32C9C7D/2022,2022-01-15,107,2022-01-09,AY.4.2.1
England/MILK-32A3972/2022,2022-01-15,107,2022-01-09,AY.4.2.1
England/DHSC-CYNQABH/2022,2022-01-14,107,2022-01-09,AY.4.2.1
Wales/PHWC-P8AMPJ/2022,2022-01-14,107,2022-01-09,AY.4.2.1
England/QEUH-32DCCA4/2022,2022-01-14,107,2022-01-09,AY.4.2.1
England/ALDP-32BD22F/2022,2022-01-14,107,2022-01-09,AY.4.2.1
England/MILK-3287E93/2022,2022-01-14,107,2022-01-09,AY.4.2.1
England/ARCH-002472D4/2022,2022-01-14,107,2022-01-09,AY.4.2.1
Scotland/SCOT-4500/2022,2022-01-13,107,2022-01-09,AY.4.2.1
Scotland/SCOT-4095/2022,2022-01-13,107,2022-01-09,AY.4.2.1
Wales/ALDP-32966D5/2022,2022-01-13,107,2022-01-09,AY.4.2.1
Scotland/QEUH-3291C32/2022,2022-01-13,107,2022-01-09,AY.4.2.1
Scotland/QEUH-3260F60/2022,2022-01-13,107,2022-01-09,AY.4.2.1
England/PLYM-3253926/2022,2022-01-13,107,2022-01-09,AY.4.2.1
England/PHEC-YYN87DP/2022,2022-01-12,107,2022-01-09,AY.4.2.1
England/PHEC-4V04EZD2/2022,2022-01-12,107,2022-01-09,AY.4.2.1
England/DHSC-CYDD6QT/2022,2022-01-12,107,2022-01-09,AY.4.2.1
Wales/PHWC-P8TBEM/2022,2022-01-12,107,2022-01-09,AY.4.2.1
England/PLYM-32451E3/2022,2022-01-12,107,2022-01-09,AY.4.2.1
England/MILK-323B99D/2022,2022-01-12,107,2022-01-09,AY.4.2.1
Scotland/SCOT-3830/2022,2022-01-11,107,2022-01-09,AY.4.2.1
England/MILK-323F0A3/2022,2022-01-11,107,2022-01-09,AY.4.2.1
England/PLYM-32229E4/2022,2022-01-11,107,2022-01-09,AY.4.2.1
England/PLYM-3221DE9/2022,2022-01-11,107,2022-01-09,AY.4.2.1
England/PHEC-4N080Z05/2022,2022-01-11,107,2022-01-09,AY.4.2.1
Wales/PHWC-P8J6FF/2022,2022-01-10,107,2022-01-09,AY.4.2.1
England/ALDP-3226081/2022,2022-01-10,107,2022-01-09,AY.4.2.1
England/ALDP-3230C80/2022,2022-01-10,107,2022-01-09,AY.4.2.1
England/MILK-31BAF2C/2022,2022-01-10,107,2022-01-09,AY.4.2.1
England/ALDP-32543FA/2022,2022-01-09,107,2022-01-09,AY.4.2.1
Wales/PHWC-P8EXII/2022,2022-01-09,107,2022-01-09,AY.4.2.1
Wales/PHWC-P88KCX/2022,2022-01-09,107,2022-01-09,AY.4.2.1
England/PHEC-YYNENFN/2022,2022-01-08,106,2022-01-02,AY.4.2.1
England/PHEC-4T07BZD8/2022,2022-01-08,106,2022-01-02,AY.4.2.1
England/PHEC-4T07BZC9/2022,2022-01-08,106,2022-01-02,AY.4.2.1
Wales/PHWC-P8A148/2022,2022-01-08,106,2022-01-02,AY.4.2.1
Wales/PHWC-P8KC8T/2022,2022-01-08,106,2022-01-02,AY.4.2.1
England/NORT-YBUC7T/2022,2022-01-08,106,2022-01-02,AY.4.2.1
England/BRBR-31D92B5/2022,2022-01-08,106,2022-01-02,AY.4.2.1
England/DHSC-CYDP8GR/2022,2022-01-08,106,2022-01-02,AY.4.2.1
England/PHEC-5V036ZCC/2022,2022-01-07,106,2022-01-02,AY.4.2.1
England/PHEC-5S040Z18/2022,2022-01-07,106,2022-01-02,AY.4.2.1
England/PHEC-4V0BBZE3/2022,2022-01-07,106,2022-01-02,AY.4.2.1
England/PHEC-4U053ZD2/2022,2022-01-07,106,2022-01-02,AY.4.2.1
England/PHEP-YYDUP3S/2022,2022-01-07,106,2022-01-02,AY.4.2.1
England/NORT-YBT7WS/2022,2022-01-07,106,2022-01-02,AY.4.2.1
England/MILK-318906F/2022,2022-01-07,106,2022-01-02,AY.4.2.1
England/BRBR-319ED9D/2022,2022-01-07,106,2022-01-02,AY.4.2.1
England/PHEC-YYNFWT7/2022,2022-01-06,106,2022-01-02,AY.4.2.1
England/NORW-313A34B/2022,2022-01-06,106,2022-01-02,AY.4.2.1
Wales/PHWC-P8JFBG/2022,2022-01-06,106,2022-01-02,AY.4.2.1
England/LSPA-31FAE41/2022,2022-01-06,106,2022-01-02,AY.4.2.1
Scotland/QEUH-31D0EAB/2022,2022-01-06,106,2022-01-02,AY.4.2.1
England/ALDP-31BF74D/2022,2022-01-06,106,2022-01-02,AY.4.2.1
England/BRBR-319EBB1/2022,2022-01-06,106,2022-01-02,AY.4.2.1
