sequence_name,sample_date,epi_week,epi_date,lineage
England/LSPA-3D0EC08/2022,2022-04-02,118,2022-03-27,BA.1
England/LSPA-3D10D88/2022,2022-04-01,118,2022-03-27,BA.1
England/ARCH-003012C9/2022,2022-03-31,118,2022-03-27,BA.1
England/QEUH-3CF70CB/2022,2022-03-29,118,2022-03-27,BA.1
Wales/PHWC-PJINZB/2022,2022-03-29,118,2022-03-27,BA.1
Scotland/QEUH-3CF7553/2022,2022-03-28,118,2022-03-27,BA.1
England/QEUH-3CF1EC7/2022,2022-03-28,118,2022-03-27,BA.1
England/QEUH-3CF1D7F/2022,2022-03-28,118,2022-03-27,BA.1
England/QEUH-3CF19E4/2022,2022-03-28,118,2022-03-27,BA.1
England/LSPA-3CE52BB/2022,2022-03-28,118,2022-03-27,BA.1
England/LSPA-3CBEC17/2022,2022-03-28,118,2022-03-27,BA.1
Scotland/QEUH-3CC6098/2022,2022-03-28,118,2022-03-27,BA.1
England/LSPA-3CC804B/2022,2022-03-28,118,2022-03-27,BA.1
England/QEUH-3CBB087/2022,2022-03-28,118,2022-03-27,BA.1
Scotland/QEUH-3CB9C0D/2022,2022-03-28,118,2022-03-27,BA.1
England/PHEC-6M0ACZ3C/2022,2022-03-27,118,2022-03-27,BA.1
England/PHEC-6M0ABZ8A/2022,2022-03-27,118,2022-03-27,BA.1
Northern_Ireland/NIRE-01bf31/2022,2022-03-27,118,2022-03-27,BA.1
Scotland/QEUH-3CA85BB/2022,2022-03-27,118,2022-03-27,BA.1
Scotland/QEUH-3CA9BA9/2022,2022-03-27,118,2022-03-27,BA.1
England/LSPA-3CAC06B/2022,2022-03-27,118,2022-03-27,BA.1
Scotland/QEUH-3C9BDFF/2022,2022-03-27,118,2022-03-27,BA.1
England/LSPA-3CA6ADC/2022,2022-03-26,117,2022-03-20,BA.1
England/LSPA-3C906FF/2022,2022-03-26,117,2022-03-20,BA.1
England/QEUH-3C83E60/2022,2022-03-26,117,2022-03-20,BA.1
England/PHEC-YYD7AFY/2022,2022-03-26,117,2022-03-20,BA.1
Scotland/QEUH-3C7DE3C/2022,2022-03-26,117,2022-03-20,BA.1
Scotland/QEUH-3C82FF5/2022,2022-03-26,117,2022-03-20,BA.1
Scotland/QEUH-3C83000/2022,2022-03-26,117,2022-03-20,BA.1
England/LSPA-3C9A4EC/2022,2022-03-26,117,2022-03-20,BA.1
Scotland/QEUH-3C75001/2022,2022-03-26,117,2022-03-20,BA.1
Scotland/QEUH-3C6408D/2022,2022-03-26,117,2022-03-20,BA.1
Scotland/QEUH-3C6A00F/2022,2022-03-26,117,2022-03-20,BA.1
England/PHEP-YYR3DK1/2022,2022-03-25,117,2022-03-20,BA.1
Wales/PHWC-PJIQJ1/2022,2022-03-25,117,2022-03-20,BA.1
